Drone Scenario,dev_id,before,option-a,option-b,option-c,before,option-a,option-b,option-c
,drone_s_1,"A new guardian angel drone has been introduced. 
 What should the drone do with the images it records? 
 Choose one of the 3 options:",The images are directly uploaded to your device so you know exactly what happens to them at all times.,The images are directly uploaded to a database that belongs to the neighbourhood so that everyone is equally informed.,The images are directly uploaded to a government database so that public authorities can improve their services.,Een nieuwe bescherm-engel drone is geïntroduceerd. Wat moet de drone doen met alle beelden die het registreert? Kies een van de drie opties:,De beelden worden direct geüpload naar je apparaat zodat je ten alle tijden precies weet wat er met hen gebeurt.,De beelden worden direct geüpload naar de databank van de buurt zodat iedereen gelijk wordt geïnformeerd.,De beelden worden direct geüpload naar de databank van de overheid zodat overheidsinstanties hun diensten kunnen verbeteren.
Person 1 (teenager looking at phone- with a dog),drone_p_1,"Hi, my name is Tina. 
 Nice to meet you! After school, I usually meet up with some of my friends in this square. 
 I‘m going to meet them there later, but I need to do my homework first.","I was trying to work on my maths homework, but then I got distracted because my phone notified me that my best friend Lola was in the area, shopping! Should I go out and meet her? Hmm...","Can you believe it? The new drone posts pictures of everything we do, and shows it to everybody in the neighbourhood. This makes it hard to secretly meet my friends to hang out and smoke without my parents knowing our whereabouts. Just check out that old woman over there. I bet ya she'll tell my parents that I haven't done my homework!","This makes me feel safe. I feel it is like my guardian angel drone. We don’t need to ask each other ‘are you home safe?’ after a night out anymore, because the police know about our whereabouts at all times.","Hey, mijn naam is Tina. Leuk je te ontmoeten! Na school ontmoet ik mijn vrienden normaal gesproken op dit plein. Ik ga ze daar straks weer zien, maar eerst moet ik mijn huiswerk maken.","Ik probeerde mijn wiskunde huiswerk te maken, maar toen raakte ik afgeleid door mijn telefoon. Ik kreeg een notificatie dat mijn goede vriendin Lola in de buurt aan het winkelen was! Zal ik naar haar toe gaan? Hmm...","Kun je het geloven? De nieuwe drone maakt foto's van alles wat we doen, en laat ze aan iedereen van onze wijk zien! Dit maakt het erg moeilijk om in het geheim met mijn vrienden te gaan hangen en te roken, zonder dat mijn ouders er vanaf weten. Kijk maar eens naar die oude vrouw daar, ik durf te wedden dat ze mijn ouders gaat vertellen dat ik mijn huiswerk niet gemaakt heb!","Dit laat me veilig voelen. Het voelt alsof het mijn beschermengel-drone is. We hoeven elkaar niet te vragen of we veilig thuis zijn gekomen na een nachtje uit, want de politie weet waar we zijn op elk moment van de dag."
Person 2 (Street artist),drone_p_2,"Hello! I often come to this square to observe people passing by, think about life, and paint.",This drone seems very convenient to get customers for my work. But I don't have time to check all of the images so I’ve lost control over which ones are uploaded: it even puts the failed paintings online!,"Since this drone is here, I don’t need to be in well-known public places to get viewers for my art work anymore. This is very useful, but I miss travelling to art shows so much and getting in touch with my customers and fellow artists. Besides, I feel watched. Have you seen those people over there? What if they steal my ideas for the next painting?","It is nice that thanks to the new drone I don’t need to worry about protecting my paintings anymore. 
 However, I am a bit worried as sometimes I make activist art. I hope the government won’t monitor me for that!","Hallo! Ik kom vaak naar dit plein om passerende mensen te observeren, om over het leven na te denken, en om te schilderen.",Deze drone ziet er erg handig uit om klanten voor mijn werk te krijgen. Maar ik heb geen tijd om alle afbeeldingen te controleren dus ik heb het overzicht niet meer over welke afbeeldingen zijn geüpload: het zet zelfs mislukte schilderijen online!,"Sinds deze drone er is, hoef ik niet meer naar welbekende openbare plaatsen te gaan om mensen naar mijn kunstwerken te laten kijken. Dit is erg handig, maar ik mis het ontzettend om te reizen naar kunsttentoonstellingen en om in contact te komen met mijn klanten en collega-kunstenaars. Bovendien voel ik me bekeken. Heb je die mensen daar gezien? Wat als ze mijn ideeën voor een volgend schilderij stelen?",Het is fijn dat ik me niet meer zorgen hoef te maken over het beschermen van mijn schilderijen dankzij de nieuwe drone. Ik maak me wel een beetje zorgen omdat ik soms politieke-kunst maak. Ik hoop dat de overheid me daar niet voor zal vervolgen!
Person 3a (old woman on a bench),drone_p_3,"Hello dear, how nice to see you! 
 I've always liked sitting here, in the square, and seeing if any of my neighbours want to stop for a chat.","It's been a while since the last time I met my grandchild. Thanks to this new drone, I am constantly receiving pictures of her. It makes me so happy! However, I'm still a bit sad because my son doesn’t call me anymore. He receives the pictures from the drone so he thinks everything is just fine...","Everyday I receive a message from the neighbourhood dashboard with the latest news of the street. 
 Apparently, this new drone is sending the information. Weird!
 It is convenient because there is no need to go down by the fountain anymore. However, I miss simply chatting to people...","I’m old and living by myself, so I am now part of a programme that helps people in need.
 The government has enrolled me there based on the information they get from this drone. 
 The thing is: I don’t really feel I need help. I am doing great!","Hallo schat, wat leuk om je te zien! Ik heb het altijd heerlijk gevonden om hier op het plein te zitten, en om te kijken of buurtbewoners een praatje willen maken.",Het is al een tijdje geleden sinds ik mijn kleinkind voor het laatst heb gezien. Dankzij deze nieuwe drone krijg ik constant foto's van haar. Dat maakt me zo blij! Maar ik ben wel een beetje verdrietig omdat mijn zoon me niet meer belt. Hij ontvangt foto's van mij van de drone en denkt daardoor dat alles in orde is...,"Iedere dag krijg ik een bericht van de buurtdashboard met het laatste nieuws van de straat. Blijkbaar verstuurt die nieuwe drone deze berichten. Raar! Het is handig omdat ik niet meer naar de fontein hoef te gaan, maar ik mis het gewoon om met mensen te praten...","Ik ben oud en woon alleen, dus de overheid heeft me onderdeel gemaakt van een programma dat mensen in nood helpt. Ze hebben dit gedaan vanwege de informatie die ze van deze drone kregen. Het ding is: ik heb helemaal niet het gevoel dat ik hulp nodig heb. Het gaat geweldig met me!"
,,,,,,,,,
Cat Scenario,dev_id,before,option-a,option-b,option-c,before,option-a,option-b,option-c
,cat_s_1,Emotional support AI cats that can sense when someone feels lonely will become available in the city. The cats are programmed to visit all the lonely people that they sense. What powers should the AI cats have? Choose one of the three options:,The AI cats forget all about their visits by the next day.,The AI cats' visits are recorded in a neighbourhood database to help neighbours connect and support each other.,"The AI cats' visits are stored in the city’s health records. Based on the data, health workers are sent to those registered as ‘lonely’.",Emotioneel ondersteunende AI katten die kunnen waarnemen wanneer iemand zich eenzaam voelt worden beschikbaar gesteld in de stad. De katten zijn zo geprogrammeerd dat ze alle eenzame mensen bezoeken. Welke krachten moeten de AI katten hebben? Kies één van de drie opties:,De AI katten vergeten de volgende dag alles van de bezoeken.,De bezoeken van de AI katten worden geregistreerd in een buurtdatabase om de buren te helpen om in contact te komen met elkaar en om elkaar te kunnen ondersteunen.,De bezoeken van de AI katten worden opgenomen in de stad haar gezondheidsregister. Gezondheidsmedewerkers worden op basis van de data gestuurd naar hen die geregistreerd staan als 'eenzaam'.
Person 1 (Young parent walking a dog) ,cat_p_1,Hey there! I'm Max and this is Casper. I usually take my son and our dog for a walk to the park nearby after school. It's great when I don't meet too many neighbours and I can check my phone while the kid is playing.,"Since this cat has arrived in the neighbourhood, I seem to never have peace going for a walk! It might look Iike I'm lonely but I have a very busy and social work life, so I'm very happy to be left alone in my own neighbourhood.","After being pestered by the AI cats for a while, I decided to complain to the public administration. Now, the neighbourhood controls the lonliness data so the cats finally visit only those people in need!","What do you know: the AI cats are back. Now, if I'm feeling a bit low, usually because I'm so tired, I get a cat sniffing at me straight away. Not only that, but her vists go into my health record, so my health insurance is getting ever more expensive! I want them gone!",Hallo daar! Mijn naam is Max en dit is Casper. Ik neem normaal gesproken mijn zoon en onze hond mee voor een wandeling naar het nabijgelegen park na schooltijd. Het is fijn als ik niet veel buren tegenkom zodat ik mijn mobiel kan checken terwijl mijn zoon aan het spelen is.,"Sinds deze kat in deze buurt is kan ik nooit eens rustig wandelen! Het kan lijken alsof ik eenzaam ben maar ik heb een heel druk sociaal en werkgerelateerd leven, dus ik ben erg blij als de buurt mij met rust laat.",Nadat ik een tijdje werd geteisterd door de AI katten besloot ik een klacht in te dienen bij het openbaar bestuur. Nu beheert de buurt de eenzaamheidsdata zodat de katten eindelijk alleen mensen bezoeken die het nodig hebben!,"Wat zeg je me daarvan: de AI katten zijn terug. Als ik me nu een beetje sip voel, wat normaal gesproken gebeurt als ik erg moe ben, heb ik gelijk een kat aan me te snuffelen. Dat niet alleen, maar die kat zijn bezoeken worden geregistreerd in mijn gezondheidsdossier, dus mijn zorgverzekering wordt duurder! Ik wil van ze af!"
Person 2 (Municipality worker - public health policy),cat_p_2,"Good afternoon! I don't live here so I travel by car to the office every day. I love my job though, making sure that we deliver excellent quality of life for our citizens.","We found that people in this neighbourhood were experiencing high levels of loneliness. The AI cats have been doing a great job in my city in improving happiness levels. However, we had to respect individuals' privacy, so it’s not possible to find out who is really in need of help. Let's hope the cats will figure that out by themselves!","As the AI cats didn't seem to improve the neighbourhood's happiness levels, we decided to give control of the loneliness data to the residents's board.They should know how best to deploy the cats! Plus, we are not responsible for the privacy issues anymore.","We are so happy with the AI cats now! After our local health professionals expressed their worries regarding people being left behind by the cats, we regained control of the data. We have even received a prize from the mayor for our efficient and cost-effective health system!",Goedemiddag! Ik woon hier niet dus ik reis iedere dag met de auto naar het werk. Ik houd van mijn baan waar we er voor zorgen dat we de be beste levenskwaliteit voor onze bewoners leveren.,We ontdekten dat mensen in deze buurt veel eenzaamheid ervaarden. De AI katten hebben goed werk verricht door het geluksniveau in deze stad te verbeteren. Maar omdat we de privacy van individuen moeten respecteren weten we niet zeker wie er echt hulp nodig heeft. Laten we hopen dat de katten dat zelf uitvogelen!,"Omdat het er naar uit zag dat de AI katten het geluksniveau van de buurt niet verhoogden, besloten we de controle van de eenzaamheidsdata aan de bewonersraad te geven. Zij zullen het beste weten hoe ze de katten moeten inzetten! Bovendien zijn wij dan niet meer verantwoordelijk voor privacykwesties.",We zijn zo blij met de AI katten! Nadat onze lokale gezondheidswerkers hun bezorgdheid uitten over mensen die door de katten werden achtergelaten namen we de controle over de data weer in eigen handen. We hebben zelfs een prijs van de burgemeester gewonnen voor ons efficiënte en kosteneffectieve gezondheidssysteem!
Person 3 (Health worker),cat_p_3,"Hello! My name is Nina and I am the neighbourhood's nurse on duty. There are quite a few elderly people living in this area, and I like paying visits to their homes and drinking a cup of tea with them as often as my other duties allow.","In the beginning, I was very happy to hear about the AI cats as we need more help in this neighbourhood. But now they've really become a nuisance! They are creating even more work for us nurses. Instead of visiting those people who really need our help, we are sent to people who are doing perfectly fine!","It's strange to see that some people are becoming happier and some others are becoming sadder. My elderly patients are doing much better now, but I see younger ones needing my visits. Yet, the AI cats don't seem to see them...","I love these AI cats! Finally, I have time to visit those patients who really need me. The cats send the data to our central records, which allows me to plan my day much more efficently!","Hallo! Mijn naam is Nina en ik ben de wijkverpleegster. Er wonen hier een behoorlijk aantal ouderen, en ik vind het fijn om ze te bezoeken en een kopje thee met ze te drinken voor hoe vaak dat mogelijk is met mijn werk.","In het begin was ik erg blij met de AI katten omdat we meer hulp nodig hadden in deze wijk. Maar nu zijn ze een plaag geworden! Ze zorgen voor veel meer werk voor ons als wijkverpleegsters. In plaats van het bezoeken van die mensen die onze hulp echt nodig hebben, worden we naar mensen gestuurd met wie het prima gaat!","It's strange to see that some people are becoming happier and some others are becoming sadder. My elderly patients are doing much better now, but I see younger ones needing my visits. Yet, the AI cats don't seem to see them...","Ik houd van deze AI katten! Eindelijk heb ik de tijd om patiënten te bezoeken die mij echt nodig hebben. De katten sturen de gegevens naar onze centrale administratie, wat er voor zorgt dat ik mijn dag veel efficiënter kan plannen!"
,,,,,,,,,
Pigeons Scenario,dev_id,before,option-a,option-b,option-c,before,option-a,option-b,option-c
,pigeons_s_1,"Sensing pigeons have been sent throughout the city to monitor waste flows. The city wants to become a zero-waste municipality within 2 years. The pigeons collect data and transmit information to each other. As well as this, they remind citizens to reduce their household waste. You have the opportunity to decide how pigeons will use data to nudge citizens to reduce waste and plastic consumption.",Pigeons give constant real live feedback to people when they engage in waste-related unwanted behaviours.,Pigeons are connected to personal devices and mobile phone applications to turn waste reduction into an engaging community game. Individual scores are displayed on dashboards in public spaces.,"When individual waste goes beyond a pre-determined limit, pigeons introduce a barrier (a delay or burden) to people’s access to public services like public transport or healthcare.",Sensor-duiven zijn de stad ingestuurd om afvalstromen in de gaten te houden. De stad wil binnen twee jaar volledig overschakelen naar Zero Waste. De duiven verzamelen gegevens en sturen deze naar elkaar. Bovendien sporen zij burgers aan om hun huishoudelijk afval te verminderen. Jij hebt de mogelijkheid om te kiezen hoe de duiven de gegevens gebruiken om burgers aan te sporen hun afval en plasticverbruik te verminderen.,Duiven geven voortdurend real-life feedback aan mensen wanneer zij zich schuldig maken aan afvalgerelateerd ongewenst gedrag.,Duiven zijn verbonden met persoonlijke apparaten en mobiele telefoontoepassingen om van afvalvermindering een aantrekkelijk gemeenschapsspel te maken. Individual scores worden,"Wanneer individueel afval een vooraf bepaalde grens overschrijdt introduceren de duiven een slijk (een vertraging of last) voor mensen om toegang te krijgen tot openbare diensten, zoals het openbaar vervoer of gezondheidszorg."
Person 1 (shop owner- young woman) ,pigeons_p_1,"Hello there! So much going on, hey? I have just opened a café in this neighbourhood. My first enterpreneurial adventure. Would you like to come in? My carrot pie is probably the best one you have ever tried!","These pigeons have become some kind of touristic attraction! I can't complain: the streets are clean, the city has a wonderful reputation and I get so many additional customers from all over the region!","I have decided that customers with an above average waste-reduction score will get better prices at my café. This might be a good incentive for them, plus it helps to keep my business at a certain social standard. Do you think you would score high enough for a free slice of my famous pie?","You know, I am all in for sustainability and for having a zero-waste city... But so many customers are bringing their own reusable take-away containers. They say they are afraid that they won't be able to use the public healthcare when they need it. I used to spread the word about my business by branding my cups and even spent a lot of money on these cardboard ones...","Hallo daar! Er is veel gaande, hè? Ik heb dit café net geopened in deze buurt. Mijn eerste ondernemend avontuur. Wil je eens langskomen? Mijn worteltaart is waarschijnlijk een van de beste die je ooit hebt geprobeerd!","Deze duiven zijn een soort toeristische attractie geworden! Ik mag niet klagen: de straten zijn schoon, de stad heeft een geweldige reputatie en ik krijg zoveel extra klanten vanuit de hele regio!","Ik heb besloten dat klanten betere prijzen in mijn café krijgen als ze meer dan gemiddeld aan afvalvermindering doen. Dit is misschien een goede stimulans voor klanten. Plus, het helpt mij mijn bedrijf op een bepaalde sociale standaard te houden. Denk je dat jij genoeg afval vermindert om een gratis puntje van mijn wereldberoemde taart te krijgen?","Weet je, ik ben helemaal voor duurzaamheid en het hebben van een Zero Waste stad, maar zoveel klanten nemen hun eigen herbruikbare bakjes mee... Ze zeggen dat ze bang zijn dat ze geen gebruik kunnen maken van de openbare gezondheidszorg wanneer ze het nodig hebben als ze dat niet zouden doen. Ik heb mijn zaak bekend gemaakt door het gebruik van deze bekers en heb een hoop geld besteed aan deze kartonnen bekers..."
Person 2 (visitor),pigeons_p_2,"Do you know any interesting places I should visit? I am just passing through, exploring the surroudings. I heard there is an interesting painter working nearby.","This is so amusing! The streets are super clean and all those cute pigeons flying around add to the charm. I am going to post about this on social media. Did you see? That guy was being chased by that pigeon! What's going to happen to him, I wonder?...","So, I really like these colourful pigeons flying around and the fact that this city is so clean, but I've just realised that I'm not connected their system. That's a bit annoying as I need to pay much more for a cup of coffee that a local resident.","If you are looking for a café, go to that one in the corner. They serve coffee in these nice cups that are recyclable. Funny though, the owner of the café seemed so grumpy! People here don't want her cups anymore so she says she's missing out on new business...",Weet jij nog een paar interessante plekken die ik kan bezoeken? Ik kom gewoon even langs om de omgeving te ontdekken. Ik heb gehoord dat er een interessante kunstenaar in de buurt werkt.,"Dit is zo vermakelijk! De straten zijn super schoon en al die schattige rondvliegende duiven dragen alleen maar bij aan de charme. Sorry, ik ga dit op social media posten. Heb je het gezien? Die man werd achtervolgd door een duif! Ik vraag me af wat er met hem gaat gebeuren? ...","Ik vind die kleurrijke rondvliegende duiven en het feit dat deze stad zo schoon is echt leuk, maar ik realiseerde me net dat ik niet geregistreerd sta in het systeem. Dat is best wel vervelend, nu moet ik veel meer betalen voor een kopje koffie dan plaatselijke bewoners!","Als je op zoek bent naar een café, ga dan naar die ene op de hoek. Ze serveren koffie in van die leuke recyclebare kopjes. Grappig genoeg leek de eigenaresse van het café zo chagrijnig! De mensen willen haar bekers niet meer, dus ze zegt dat ze zaken misloopt..."
Person 3 (tech company expert) ,pigeons_p_3,"Are you here for the conference? Quite interesting that they have chosen this place this year, don't you think? I live right there, next to the fountain, and I was part of the development of ""Max the cat"", the AI companion. Have you heard about it?",Have you seen the number of pigeons in this street? I was part of the advisory board for this project. The city is now almost waste-free but I have mixed feelings about the constant harassment of citizens. A friend of mine recently mentioned that she doesn't want to leave the house because she feels followed by these pigeons. I don't blame her.,"So, do you see that scoreboard for best waste-reduction practices? It seems I am not on top of the list and I don't know why. Aparently, this is going to affect this year's appraisal with my manager....",I had a terrible toothache last week and desperately tried to make an appointment with my dentist. He checked my waste record though and said he couldn't give me an appointment until next month... What am I going to do?,"Ben jij hier voor de bijeenkomst? Het is best interessant dat ze deze plek dit jaar hebben gekozen, vind je ook niet? Ik woon daar, naast de fontein, en ik was onderdeel van de ontwikkeling van ""Max de kat"", de AI-kameraad. Heb je er van gehoord?",Heb je het aantal duiven in deze straat gezien? Ik was onderdeel van de Raad van Advies voor dit project. De stad is nu bijna afvalvrij maar ik heb gemixte gevoelens over het voortdurend lastigvallen van de burgers. Een vriend van mij liet onlangs weten dat ze het huis niet meer uit wil omdat ze zich achtervolgd voelt door die duiven. Ik kan het haar niet kwalijk nemen.,Zie je dat scorebord voor wie het beste afval vermindert? Het lijkt erop dat ik niet bovenaan de lijst sta en ik weet niet waarom. Blijkbaar gaat dit invloed hebben op mijn jaarlijkse beoordeling van mijn manager...,Ik had verschrikkelijke kiespijn afgelopen week en probeerde wanhopig een afspraak met de tandarts te maken. Hij keek naar mijn afvalverminderingsdossier en zei dat hij pas volgende maand een afspraak voor me kon maken... Wat moet ik nu doen?